JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458138.36806,8.2,,,Vis.,PEX,,72,86,X22625BBH,,,,Z,,,,PNV J13532700-6725110,AAVSO,STD,,,,
2458138.5014,8.291,0.022,,TG,BLD,U,ensemble,HD 120496,X22625BBP,,0,1.710,Z,,8.475,,PNV J13532700-6725110,ASSA,STD,,,,
2458138.5014,8.703,0.028,,TB,BLD,U,ensemble,HD 120496,X22625BBP,,0,1.710,Z,,8.800,,PNV J13532700-6725110,ASSA,STD,,,,
2458138.51042,8.2,,,Vis.,ACN,UK,715,845,X22625BGQ,,,,Z,,,,PNV J13532700-6725110,REA,STD,,,,
2458138.77778,8.5,,,Vis.,AAX,K,85,89,X22625AZB,TYCHO,,,Z,,,,PNV J13532700-6725110,NEOA-JBS,STD,,,,
2458139.13303,8.59,0.04,,V,ILUA,K,TYC-9016-379-1,Tycho,DS9-type,T17 itelescope from SSO - mag in Vega ,0,,Z,11.08,7.618,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.13344,8.54,0.03,,R,ILUA,K,TYC-9016-379-1,USNO B1.0,DS9-type,T17 iTelescope from SSO - mag in Vega,0,,Z,10.73,6.717,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.13400,7.19,0.03,,I,ILUA,K,TYC-9016-379-1,USNO B1.0,DS9-type,T17 iTelescope from SSO - mag in Vega,0,,Z,9.13,6.745,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.15527,8.739,0.007,,B,PEX,,ENSEMBLE,118,X22634DN,,0,1.600,Z,,12.358,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.15910,8.408,0.002,,V,PEX,,ENSEMBLE,118,X22634DN,,0,1.582,Z,,11.757,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.15957,8.393,0.005,,R,PEX,,ENSEMBLE,118,X22634DN,,0,1.580,Z,,11.569,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.16017,8.121,0.009,,I,PEX,,ENSEMBLE,118,X22634DN,,0,1.577,Z,,11.390,,PNV J13532700-6725110,AAVSO,STD,,,,
2458139.2889,8.5,,,Vis.,PEX,,85,,X22626CC,,,,Z,,,,PNV J13532700-6725110,AAVSO,STD,,,,
