JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453402.9451,<13.3,,,Vis.,MTH,,133,,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453701.9257,13.1,,,Vis.,JA,WZ,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453702.0292,13.0,,,Vis.,ARX,V,131,,MATI MOR,NEAR LIMIT,,,Z,,,,N LMC 05,,STD,,,,
2453702.0660,12.90,0.04,,V,NLX,,936,,GIODE 8,"""COMP TYC 9161 746, B-V=0.67 ERR: 0.04""",,,Z,,,,N LMC 05,,STD,,,,
2453702.0705,13.57,0.05,,B,NLX,,960,,GUIDE 8,"""COMP = TYC 9161 746, B-V=0.67 ERR: 0.05""",,,Z,,,,N LMC 05,,STD,,,,
2453702.075,12.8,,,Vis.,PEX,,125,131,X27531IE,,,,Z,,,,N LMC 05,AAVSO,STD,,,,
2453702.4701,11.9,,,Vis.,AAX,KY,1156,1190,ASAS,,,,Z,,,,N LMC 05,,STD,,,,
2453706.084,12.5,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453707.4236,12.5,,,N/A,MDJ,,126,,AAVSO,,,,Z,,,,N LMC 05,,STD,,,,
2453707.7944,<12.6,,,Vis.,AAX,K,126,1260,ASAS,,,,Z,,,,N LMC 05,,STD,,,,
2453708.1701,12.57,0.01,,V,HBD,,1329,,MOREL, ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453708.571,11.96,,,V,LIW,Y,,,,Used CONVERTV at HQ,,,Z,,,,N LMC 05,,STD,,,,
2453708.638,12.17,,,N/A,LIW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453708.9836,12.51,0.04,,V,NLX,,936,,GUIDE 8,"""COMP = TYC 9161 746, B-V=0.27 ERR: 0.04""",,,Z,,,,N LMC 05,,STD,,,,
2453708.9847,12.8,,,Vis.,ARX,,114,126,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453708.9899,12.78,0.04,,B,NLX,,960,,GUIDE 8,"""COMP = TYC 9161 746, B-V=0.27 ERR: 0.04""",,,Z,,,,N LMC 05,,STD,,,,
2453709.0188,12.5,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453709.0528,12.16,0.02,,R,DSI,K,9538,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 98 653 ERR: 0.02,,,Z,,,,N LMC 05,,STD,,,,
2453709.0528,12.54,0.015,,V,DSI,K,9538,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 98 653 ERR: 0.015,,,Z,,,,N LMC 05,,STD,,,,
2453709.0528,12.75,0.02,,B,DSI,K,9538,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 98 653 ERR: 0.02,,,Z,,,,N LMC 05,,STD,,,,
2453709.577,12.03,,,V,LIW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453709.9691,12.07,0.15,,V,NLX,,121,,GUIDE 8,"""COMP=2UCAC 24301902. POOR SEEING, SN VAR=60 ERR: 0.15""",,,Z,,,,N LMC 05,,STD,,,,
2453710.025,12.3,,,Vis.,MTH,,126,,112505,,,,Z,,,,N LMC 05,,STD,,,,
2453710.567,11.88,,,V,LIW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453711.0187,12.2,,,Vis.,MTH,,126,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453711.593,11.92,,,V,LIW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453712.0306,12.15,0.033,,R,DSI,K,9260,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA97 346 ERR: 0.033,,,Z,,,,N LMC 05,,STD,,,,
2453712.0306,12.57,0.03,,V,DSI,K,9260,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA97 346 ERR: 0.03,,,Z,,,,N LMC 05,,STD,,,,
2453712.0306,12.77,0.02,,B,DSI,K,9260,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA97 346 ERR: 0.02,,,Z,,,,N LMC 05,,STD,,,,
2453712.0326,12.3,,,Vis.,MTH,,126,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453712.0451,12.3,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453712.1083,12.9,,,Vis.,JA,WZ,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453712.2078,12.61,0.01,,V,HBD,,1329,,MOREL, ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453712.2174,12.23,0.01,,R,HBD,,1329,,MOREL,REF =12.98R ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453712.9799,12.8,,,Vis.,MTH,,126,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453713.1215,<12.6,,,Vis.,JA,WZ,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453713.9951,12.6,,,Vis.,ARX,,114,126,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453714.0021,12.4,,,Vis.,MTH,,126,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453714.0125,12.14,0.015,,R,DSI,K,8743,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA94 308 ERR: 0.015,,,Z,,,,N LMC 05,,STD,,,,
2453714.0125,12.58,0.025,,V,DSI,K,8743,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA94 308 ERR: 0.025,,,Z,,,,N LMC 05,,STD,,,,
2453714.0125,12.81,0.02,,B,DSI,K,8743,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA94 308 ERR: 0.02,,,Z,,,,N LMC 05,,STD,,,,
2453714.0646,12.7,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453714.1,12.55,0.01,,V,HBD,,1329,,MOREL, ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453714.9595,12.67,0.,,V,NLX,,936,,GUIDE 8,"""COMP TYC9161746 V=9.36, B-V=0.24. SEEING GOOD. AVERAGE 3 MIMAGES ERR: 0.""",,,Z,,,,N LMC 05,,STD,,,,
2453714.9682,12.96,0.,,B,NLX,,960,,GUIDE 8,"""COMP TYC9161746 V=9.36, B-V=0.24. SEEING GOOD. AVERAGE 2 MIMAGES ERR: 0.""",,,Z,,,,N LMC 05,,STD,,,,
2453714.9965,12.9,,,Vis.,MTH,,126,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453715.9882,13.0,,,Vis.,MTH,,131,,051126,,,,Z,,,,N LMC 05,,STD,,,,
2453718.0186,12.88,,,V,NLX,,936,,GUIDE 8,"""COMP TYC 9161 746, V=9.36, B-V=0.24. MIRA PRO 7, AV 3 OBSERVATIONS ERR:""",,,Z,,,,N LMC 05,,STD,,,,
2453719.0208,12.19,,,R,HBD,M,133,,MOREL,NEAR FULL MOON,,,Z,,,,N LMC 05,,STD,,,,
2453719.0306,12.20,,,R,HBD,M,133,,MOREL,NEAR FULL MOON,,,Z,,,,N LMC 05,,STD,,,,
2453719.0312,12.21,0.03,,R,DSI,K,9783,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 97 351 ERR: 0.03,,,Z,,,,N LMC 05,,STD,,,,
2453719.0312,12.69,0.035,,V,DSI,K,9783,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 97 351 ERR: 0.035,,,Z,,,,N LMC 05,,STD,,,,
2453719.0312,12.87,0.015,,B,DSI,K,9783,,AUTOSTAR,ALL SKY PHOTOMETRY. LANDOLT STANDARD SA 97 351 ERR: 0.015,,,Z,,,,N LMC 05,,STD,,,,
2453719.0347,12.69,,,V,HBD,M,133,,MOREL,NEAR FULL MOON,,,Z,,,,N LMC 05,,STD,,,,
2453719.1120,12.55,,,V,NLX,,936,1142,GUIDE 8,"""ENSEMBLE. COMPS TYC 9161746,9161905   2UCAC01798113. MAGS FROM MATI MORE""",,,Z,,,,N LMC 05,,STD,,,,
2453722.0292,12.15,0.02,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453722.0292,12.60,0.025,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.025""",,,Z,,,,N LMC 05,,STD,,,,
2453722.0292,12.81,0.03,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.03""",,,Z,,,,N LMC 05,,STD,,,,
2453722.1521,13.0,,,Vis.,PAW,W,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453722.9681,13.0,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453723.0,12.31,0.01,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.01""",,,Z,,,,N LMC 05,,STD,,,,
2453723.0,12.81,0.015,,V,DSI,K,8437,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.015""",,,Z,,,,N LMC 05,,STD,,,,
2453723.0,13.02,0.03,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.03""",,,Z,,,,N LMC 05,,STD,,,,
2453723.4868,13.04,,,N/A,CFH,,,,,+/-,,,Z,,,,N LMC 05,,STD,,,,
2453723.9528,13.0,,,Vis.,MTH,,131,,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453723.9611,12.45,0.01,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.01""",,,Z,,,,N LMC 05,,STD,,,,
2453723.9611,13.11,0.01,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.01""",,,Z,,,,N LMC 05,,STD,,,,
2453723.9611,13.32,0.015,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.015""",,,Z,,,,N LMC 05,,STD,,,,
2453723.9993,12.9,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453724.0396,13.08,,,V,HBD,,,,,+/-,,,Z,,,,N LMC 05,,STD,,,,
2453724.5994,13.14,,,V,LIW,,,,,+/-,,,Z,,,,N LMC 05,,STD,,,,
2453724.9785,13.0,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453725.0069,12.68,0.015,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.015""",,,Z,,,,N LMC 05,,STD,,,,
2453725.0069,13.49,0.03,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.03""",,,Z,,,,N LMC 05,,STD,,,,
2453725.0069,13.61,0.05,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA94 308 ERR: 0.05""",,,Z,,,,N LMC 05,,STD,,,,
2453725.0634,13.35,0.02,,V,NLX,,936,,GUIDE 8,COMP TYC 9161746 V=9.36. AVERAGE 3 IMAGES ERR: 0.02,,,Z,,,,N LMC 05,,STD,,,,
2453725.0755,13.49,0.05,,B,NLX,,96,,GUIDE 8,COMP TYC 9161746 B=9.60. AVERAGE 3 IMAGES ERR: 0.05,,,Z,,,,N LMC 05,,STD,,,,
2453725.9569,<13.1,,,Vis.,MTH,,131,,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453727.0014,12.33,0.03,,R,HBD,,133,,MOREL, ERR: 0.03,,,Z,,,,N LMC 05,,STD,,,,
2453727.0056,12.81,0.01,,V,HBD,,133,,MOREL, ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453728.5703,13.02,,,V,LIW,,1213,1314,329,+/- 0.05,,,Z,,,,N LMC 05,,STD,,,,
2453729.1472,12.54,0.01,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.01""",,,Z,,,,N LMC 05,,STD,,,,
2453729.1472,13.21,0.02,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453729.1472,13.35,0.025,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.025""",,,Z,,,,N LMC 05,,STD,,,,
2453729.9576,13.2,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453730.0299,12.91,0.02,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453730.0299,13.72,0.02,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453730.0299,13.84,0.04,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.04""",,,Z,,,,N LMC 05,,STD,,,,
2453732.0083,13.6,,,Vis.,MTH,,131,,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453732.1264,12.79,0.03,,R,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 305 ERR: 0.03""",,,Z,,,,N LMC 05,,STD,,,,
2453732.1264,13.44,0.05,,V,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 305 ERR: 0.05""",,,Z,,,,N LMC 05,,STD,,,,
2453732.1264,13.59,0.05,,B,DSI,K,8743,,AUTOSTAR,"""TRANSFORMED, COMP SA 94 308 ERR: 0.05""",,,Z,,,,N LMC 05,,STD,,,,
2453732.9674,<12.8,,,Vis.,PAW,,,,,,,,Z,,,,N LMC 05,,STD,,,,
2453733.5181,13.0,,,Vis.,AAX,K,1260,1310,ASAS,,,,Z,,,,N LMC 05,,STD,,,,
2453733.9576,13.6,,,Vis.,MTH,,131,,051129,,,,Z,,,,N LMC 05,,STD,,,,
2453735.025,13.28,0.03,,R,DSI,K,10014,,AUTOSTAR,"""TRANSFORMED, COMP SA 95 96 ERR: 0.03""",,,Z,,,,N LMC 05,,STD,,,,
2453735.025,13.99,0.02,,V,DSI,K,10014,,AUTOSTAR,"""TRANSFORMED, COMP SA 95 96 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453735.025,14.21,0.02,,B,DSI,K,10014,,AUTOSTAR,"""TRANSFORMED, COMP SA 95 96 ERR: 0.02""",,,Z,,,,N LMC 05,,STD,,,,
2453735.1646,14.05,0.01,,V,HBD,,133,,MOREL, ERR: 0.01,,,Z,,,,N LMC 05,,STD,,,,
2453735.9403,13.6,,,Vis.,MTH,,131,,051129,,,,Z,,,,N LMC 05,,STD,,,,
