JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452877.5956,10.14,,,V,PAH,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452877.682,9.8,,,Vis.,LIW,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452879.5963,8.90,,,V,PAH,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452881.6556,9.4,,,Vis.,SRB,R,91,94,D030829,,,,V,,,,V475 SCT,,STD,,,,
2452881.6979,9.4,,,Vis.,SGE,,88,96,D030829,,,,V,,,,V475 SCT,,STD,,,,
2452881.8417,9.5,,,Vis.,LMK,KY,9326,9636,TYCHO2+B,,,,V,,,,V475 SCT,,STD,,,,
2452881.96111,9.3,,,Vis.,PEX,,88,96,X27531IR,,,,Z,,,,V475 SCT,AAVSO,STD,,,,
2452882.0757,9.4,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,V475 SCT,,STD,,,,
2452882.3347,9.3,,,Vis.,JCN,B,96,88,030829,,,,V,,,,V475 SCT,,STD,,,,
2452882.342,9.4,,,Vis.,BMU,,,,,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452882.3462,9.3,,,Vis.,BXA,,,,,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452882.347,9.4,,,Vis.,VDE,,,,,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452882.360,9.2,,,Vis.,PYG,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.3729,9.3,,,Vis.,BOS,,88,96,D030829,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452882.392,9.4,,,Vis.,MGH,Y,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.3972,9.5,,,Vis.,SSW,,94,96,D030829,,,,V,,,,V475 SCT,,STD,,,,
2452882.4377,9.2,,,Vis.,BXA,,,,,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452882.4451,9.6,,,Vis.,JRO,L,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.4854,9.15,,,N/A,RZD,,109,,AAVSO,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452882.4896,9.15,,,N/A,RZD,T,,,,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452882.5171,9.3,,,Vis.,LIW,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.5562,9.3,,,Vis.,TDB,,96,88,SD03,      =,,,V,,,,V475 SCT,,STD,,,,
2452882.5875,9.7,,,Vis.,MDP,,98,96,030839,,,,V,,,,V475 SCT,,STD,,,,
2452882.6000,9.5,,,Vis.,KRB,Y,88,96,SD2003,,,,V,,,,V475 SCT,,STD,,,,
2452882.6264,9.6,,,Vis.,KMA,,96,98,030829,,,,V,,,,V475 SCT,,STD,,,,
2452882.6389,9.5,,,Vis.,BRJ,K,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.6424,9.3,,,Vis.,CGF,Y,88,96,PD2003,,,,V,,,,V475 SCT,,STD,,,,
2452882.6458,9.5,,,Vis.,DSJ,,88,96,AAVSO,,,,V,,,,V475 SCT,,STD,,,,
2452882.6542,9.4,,,Vis.,SXN,Y,,,,,,,V,,,,V475 SCT,,STD,,,,
2452882.6715,9.3,,,Vis.,BTB,U,88,96,SD2003,,,,V,,,,V475 SCT,,STD,,,,
2452882.6715,9.4,,,Vis.,MRV,,94,96,SD8/03,831030407,,,V,,,,V475 SCT,,STD,,,,
2452882.6924,9.5,,,Vis.,SRB,R,96,94,D030829,,,,V,,,,V475 SCT,,STD,,,,
2452882.8653,9.5,,,Vis.,LMK,K,9326,9636,TYCHO2+B,,,,V,,,,V475 SCT,,STD,,,,
2452883.294,9.4,,,Vis.,NHK,,88,96,SD2003,,,,V,,,,V475 SCT,,STD,,,,
2452883.3056,9.3,,,Vis.,KWO,K,87,93,OTERO,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452883.3215,9.0,,,Vis.,FAA,,88,96,SD2003,,,,V,,,,V475 SCT,,STD,,,,
2452883.3229,9.2,,,Vis.,MUY,Y,8.8-9.6,,SD0803,OUTBURST,,,V,,,,V475 SCT,,STD,,,,
2452883.3264,9.8,,,Vis.,BSR,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452883.328,9.2,,,Vis.,SJZ,,88,91,SD2003,,,,V,,,,V475 SCT,,STD,,,,
2452883.33,9.1,,,Vis.,VET,,,,,,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452883.3306,9.1,,,Vis.,HHU,,8.8-9.4,,D030829,,,,V,,,,V475 SCT,,STD,,,,
2452883.3368,9.5,,,Vis.,DPA,,9.6,,SD0308,,,,V,,,,V475 SCT,,STD,,,,
2452883.3458,8.6,,,N/A,CPI,,,,,Used CONVERTV at HQ,,,V,,,,V475 SCT,,STD,,,,
2452883.3479,9.0,,,Vis.,CPS,,8.8-9.1,,SD0803,,,,V,,,,V475 SCT,,STD,,,,
2452883.3507,9.7,,,Vis.,BSR,,,,,,,,V,,,,V475 SCT,,STD,,,,
2452883.363,9.0,,,Vis.,SPK,,,,,Used CONVERTV at HQ,,,V,,,,V475 SCT,AFOEV,STD,,,,
2452883.3778,9.3,,,Vis.,SDI,,88,96,1844-06,N SCT =,,,V,,,,V475 SCT,,STD,,,,
2452883.397,8.9,,,Vis.,BMU,,,,,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452883.399,8.9,,,Vis.,VDE,,,,,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452883.4028,8.6,,,Vis.,CDY,,87,85,KT,,,,V,,,,V475 SCT,,STD,,,,
2452883.4111,9.1,,,Vis.,BOS,,88,96,D030829,,,,V,,,,V475 SCT,KNVWS,STD,,,,
2452883.6194,8.9,,,Vis.,CGF,Y,77,88,PD2003,,,,V,,,,V475 SCT,,STD,,,,
2452883.6486,8.7,,,Vis.,SET,,77,88,XXX,,,,V,,,,V475 SCT,,STD,,,,
