JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456086.98702,11.3,0.09,,V,PXR,,98,106,AAVSO 7694AD," 	Obs made with FTN ",0,,Z,9.8,10.56,,NOVA SCO 2012,BAA-VSS,STD,,,,
2456086.991,12.8,0.2,,B,PXR,,98,106,AAVSO 7694AD," 	Obs made with FTN ",0,,Z,10.288,12.04,,NOVA SCO 2012,BAA-VSS,STD,,,,
2456087.00428,11.305,0.033,,V,PXR,,117,122,AAVSO 7694AD,,0,,Z,11.661,12.223,,NOVA SCO 2012,BAA-VSS,STD,,,,
2456087.00627,11.306,0.034,,V,PXR,,117,122,AAVSO 7694AD,,0,,Z,11.661,12.220,,NOVA SCO 2012,BAA-VSS,STD,,,,
2456087.6493,11.6,,,Vis.,AAX,B,111,117,7682FZ,MOON,,,Z,,,,NOVA SCO 2012,REA,STD,,,,
2456087.86406,11.096,0.026,,V,HCW,,ENSEMBLE,136,7698DE,,0,3.109,Z,,13.786,,NOVA SCO 2012,,STD,,,,
2456087.98333,11.0,,,Vis.,MTH,,10.6,11.7,7682fz,,,,Z,,,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.00639,13.048,0.013,,B,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.157,Z,12.143,13.845,,NOVA SCO 2012,VSS,STD,,,,
2456088.00725,13.041,0.013,,B,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.154,Z,12.134,13.865,,NOVA SCO 2012,VSS,STD,,,,
2456088.00900,13.040,0.013,,B,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.148,Z,12.137,13.845,,NOVA SCO 2012,VSS,STD,,,,
2456088.01193,10.976,0.005,,V,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.138,Z,11.472,12.939,,NOVA SCO 2012,VSS,STD,,,,
2456088.01421,10.975,0.005,,V,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.131,Z,11.466,12.923,,NOVA SCO 2012,VSS,STD,,,,
2456088.01586,10.972,0.005,,V,BHQ,,000-BKM-684,000-BKM-688,7682WP,,0,1.126,Z,11.468,12.948,,NOVA SCO 2012,VSS,STD,,,,
2456088.090058,12.8341,0.0120,,B,SPET,,117,121,7796ACO,,0,1.007,Z,13.6367,14.2528,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.090995,10.1991,0.0014,,CV,SPET,,117,121,7796ACO,,0,1.007,Z,11.4989,11.8202,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.091447,11.1315,0.0042,,V,SPET,,117,121,7796ACO,,0,1.006,Z,13.0523,13.4851,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.091852,11.1087,0.0043,,V,SPET,,117,121,7796ACO,,0,1.006,Z,13.0704,13.4796,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.092257,11.1158,0.0044,,V,SPET,,117,121,7796ACO,,0,1.006,Z,13.0765,13.4958,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.09265,11.1121,0.0043,,V,SPET,,117,121,7796ACO,,0,1.006,Z,13.0551,13.4678,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.093056,11.1066,0.0043,,V,SPET,,117,121,7796ACO,,0,1.005,Z,13.0524,13.4817,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.093472,11.1134,0.0043,,V,SPET,,117,121,7796ACO,,0,1.005,Z,13.0481,13.4578,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.093866,11.1156,0.0043,,V,SPET,,117,121,7796ACO,,0,1.005,Z,13.0433,13.4536,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.094259,11.1182,0.0042,,V,SPET,,117,121,7796ACO,,0,1.005,Z,13.0283,13.4538,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.094664,11.1202,0.0042,,V,SPET,,117,121,7796ACO,,0,1.005,Z,13.0242,13.4517,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.095081,11.1152,0.0042,,V,SPET,,117,121,7796ACO,,0,1.004,Z,13.0236,13.4441,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.095475,11.1324,0.0041,,V,SPET,,117,121,7796ACO,,0,1.004,Z,13.0200,13.4519,,NOVA SCO 2012,AAVSO,STD,,,,
2456088.095891,11.1149,0.0040,,V,SPET,,117,121,7796ACO,,0,1.004,Z,12.9967,13.4216,,NOVA SCO 2012,AAVSO,STD,,,,
