JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456002.21000,<12.2,,,Vis.,BNK,,122,,GUIDE STAR 4,PRE-DISCOVERY  PG MAG.,,,Z,,,,V1368 CEN,AAVSO,STD,,,,
2456007.18000,11.0,,,Vis.,BNK,,110,,'',PRE-DISCOVERY PG(TMAX400) ESTIMATE.,,,Z,,,,V1368 CEN,AAVSO,STD,,,,
2456010.59908,9.395,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.66,Z,9.527,10.122,,PNV J13410800-5815470,VVS,STD,,,,
2456010.60233,9.414,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.64,Z,9.527,10.149,,PNV J13410800-5815470,VVS,STD,,,,
2456010.60587,9.415,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.62,Z,9.527,10.151,,PNV J13410800-5815470,VVS,STD,,,,
2456010.60942,9.420,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.59,Z,9.527,10.148,,PNV J13410800-5815470,VVS,STD,,,,
2456010.61296,9.417,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.57,Z,9.527,10.140,,PNV J13410800-5815470,VVS,STD,,,,
2456010.61653,9.426,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.55,Z,9.527,10.151,,PNV J13410800-5815470,VVS,STD,,,,
2456010.62012,9.431,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.53,Z,9.527,10.141,,PNV J13410800-5815470,VVS,STD,,,,
2456010.62371,9.421,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.51,Z,9.527,10.144,,PNV J13410800-5815470,VVS,STD,,,,
2456010.62729,9.444,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.50,Z,9.527,10.149,,PNV J13410800-5815470,VVS,STD,,,,
2456010.63086,9.446,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.48,Z,9.527,10.155,,PNV J13410800-5815470,VVS,STD,,,,
2456010.63444,9.449,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.46,Z,9.527,10.160,,PNV J13410800-5815470,VVS,STD,,,,
2456010.63802,9.446,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.45,Z,9.527,10.141,,PNV J13410800-5815470,VVS,STD,,,,
2456010.64159,9.450,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.43,Z,9.527,10.143,,PNV J13410800-5815470,VVS,STD,,,,
2456010.64520,9.455,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.42,Z,9.527,10.148,,PNV J13410800-5815470,VVS,STD,,,,
2456010.64879,9.464,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.40,Z,9.527,10.153,,PNV J13410800-5815470,VVS,STD,,,,
2456010.65239,9.457,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.39,Z,9.527,10.154,,PNV J13410800-5815470,VVS,STD,,,,
2456010.65599,9.459,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.38,Z,9.527,10.154,,PNV J13410800-5815470,VVS,STD,,,,
2456010.65959,9.454,0.004,,V,HMB,,000-BKK-797,000-BKK-799,6979IM,,0,1.37,Z,9.527,10.144,,PNV J13410800-5815470,VVS,STD,,,,
