JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456013.96082,12.452,0.035,,V,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,1,,,
2456013.96082,13.419,0.037,,B,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,1,,,
2456013.96082,11.767,0.036,,R,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17260708-2551454,,STD,1,,,
2456013.96082,11.113,0.036,,I,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17260708-2551454,,STD,1,,,
2456014.98033,12.145,0.008,,V,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,2,,,
2456014.98033,13.115,0.015,,B,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,2,,,
2456014.98033,11.479,0.012,,R,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17260708-2551454,,STD,2,,,
2456014.98033,10.824,0.013,,I,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17260708-2551454,,STD,2,,,
2456015.0861,11.9,,,Vis.,SRX,,119,,NA,,,,Z,,,,V2676 OPH,RASNZ-VSS,STD,,,,
2456015.6299,12.0,,,Vis.,AAX,,119,125,7000BM,,,,Z,,,,PNV J17260708-2551454,REA,STD,,,,
2456015.86498,10.796,0.010,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.02,Z,10.104,11.925,,PNV J17260708-2551454,VVS,STD,,,,
2456015.86550,12.180,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.02,Z,11.425,13.509,,PNV J17260708-2551454,VVS,STD,,,,
2456015.86579,12.237,0.007,,V,DKS,,GSC6829-0431,GSC6829-0478,TYCHO,ERROR: V-C STATISTICAL+V POISSON IN QUAD;,0,1.110,Z,10.710,13.133,,PNV J17260708-2551454,,STD,,,,
2456015.86671,10.781,0.010,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.02,Z,10.104,11.953,,PNV J17260708-2551454,VVS,STD,,,,
2456015.86723,12.172,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.02,Z,11.425,13.502,,PNV J17260708-2551454,VVS,STD,,,,
2456015.86845,10.802,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.02,Z,10.104,11.951,,PNV J17260708-2551454,VVS,STD,,,,
2456015.86897,12.174,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,11.425,13.504,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87019,10.785,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,10.104,11.927,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87071,12.175,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,11.425,13.515,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87192,10.796,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,10.104,11.912,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87244,12.183,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,11.425,13.496,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87366,10.803,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,10.104,11.930,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87418,12.184,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,11.425,13.490,,PNV J17260708-2551454,VVS,STD,,,,
2456015.87539,10.794,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.01,Z,10.104,11.958,,PNV J17260708-2551454,VVS,STD,,,,
