JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458133.426,6.714,0.012,,TG,BLD,,ensemble,000-BMN-395,X22594Or,,0,1.607,Z,,8.113,,PNV J11261220-6531086,ASSA,STD,,,,
2458133.657,6.895,0.004,,V,CAEA,,000-BMN-400,,X22749BZC,,0,1.44,Z,-12.069,,2458133.656,N Mus 2018,AAVSO,STD,,,,
2458133.657,6.788,0.003,,V,CAEA,,000-BMN-400,,X22749BZC,,0,1.439,Z,-12.001,,2458133.657,N Mus 2018,AAVSO,STD,,,,
2458133.657,6.779,0.003,,V,CAEA,,000-BMN-400,,X22749BZC,,0,1.438,Z,-12.031,,2458133.657,N Mus 2018,AAVSO,STD,,,,
2458133.658,6.748,0.003,,V,CAEA,,000-BMN-400,,X22749BZC,,0,1.436,Z,-12.03,,2458133.657,N Mus 2018,AAVSO,STD,,,,
2458133.684,<6.5,,,CV,EWRA,,a,HD99438,PNV J11261220-653108,http://nova.astrometry.net/user_images/1942485#annotated,1,,Z,8,8,,PNV J11261220-6531086,,STD,,,,
2458133.697,6.85,,,Vis.,OSE,,64,71,X22594D,,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458133.99,6.6,,,Vis.,WCG,,60,71,X22594BQ,7x50 Binoculars,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458134.044,6.7,,,Vis.,BDJB,U,64,71,X22594EI,7x50 binoculars,,,Z,,,,PNV J11261220-6531086,ASSAU,STD,,,,
2458134.079,6.974,,,V,PEX,Z,100,,X22594AAL,Some saturation of the variable star image is evident,0,1.532,Z,-10.963,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458134.173,7.507,0.002,,B,PEX,,100,,X22598FJ,,0,1.265,Z,-10.385,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458134.632,6.762,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.533,Z,-12.08,11.333,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.632,6.745,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.533,Z,-12.129,11.378,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.732,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.533,Z,-12.107,11.261,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.704,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.532,Z,-12.046,11.28,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.721,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.532,Z,-12.064,11.263,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.722,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.531,Z,-12.079,11.329,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.776,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.531,Z,-12.083,11.365,2458134.632,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.707,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.53,Z,-12.056,11.373,2458134.633,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.753,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.53,Z,-12.094,11.304,2458134.633,N Mus 2018,AAVSO,STD,,,,
2458134.633,6.688,0.003,,V,CAEA,,000-BMN-400,000-BMN-709,X22637HA,,0,1.53,Z,-12.073,11.381,2458134.633,N Mus 2018,AAVSO,STD,,,,
2458134.681,6.5,,,Vis.,PLA,,6,7.2,X22599IW,Binocular 20x80,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458134.719,6.74,,,Vis.,OSE,,64,71,X22594D,,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458134.79,6.8,,,Vis.,AAX,,64,72,X22594D,,,,Z,,,,PNV J11261220-6531086,NEOA-JBS,STD,,,,
2458134.889,7.106,0.05,,B,HMB,,UCAC4 123-046147,UCAC4 123-046240,X22596E,STANDARD MAG: C = 11.350  K = 11.843,0,1.39,Z,21.198,21.983,,PNV J11261220-6531086,VVS,STD,,,,
2458134.889,6.98,0.056,,B,HMB,,UCAC4 123-046147,UCAC4 123-046240,X22596E,STANDARD MAG: C = 11.350  K = 11.843,0,1.39,Z,21.295,21.813,,PNV J11261220-6531086,VVS,STD,,,,
2458134.889,6.513,0.029,,V,HMB,,UCAC4 123-046147,UCAC4 123-046240,X22596E,STANDARD MAG: C = 10.984  K = 11.438,0,1.39,Z,20.565,21.078,,PNV J11261220-6531086,VVS,STD,,,,
2458134.889,6.527,0.027,,V,HMB,,UCAC4 123-046147,UCAC4 123-046240,X22596E,STANDARD MAG: C = 10.984  K = 11.438,0,1.39,Z,20.473,20.978,,PNV J11261220-6531086,VVS,STD,,,,
2458134.97,6.8,,,Vis.,SRX,,NA,,NA,64 71,,,Z,,,,V357 MUS,AAVSO,STD,,,,
