JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456105.4264,9.6,,,Vis.,AAX,BK,95,96,7963JB,MOON TYC,,,Z,,,,PNV J17522579-2126215,REA,STD,,,,
2456105.81014,9.719,0.026,,V,HCW,,ENSEMBLE,105,8006GH,,0,2.007,Z,,10.386,,PNV J17522579-2126215,,STD,,,,
2456105.81291,11.273,0.060,,B,HCW,,ENSEMBLE,105,8006GH,,0,2.007,Z,,11.475,,PNV J17522579-2126215,,STD,,,,
2456105.81384,8.767,0.030,,R,HCW,,ENSEMBLE,105,8006GH,,0,2.008,Z,,9.855,,PNV J17522579-2126215,,STD,,,,
2456105.98667,10.029,0.006,,V,HQA,,ENSEMBLE,,,BSM,1,1.000,Z,,,,PNV J17522579-2126215,,STD,1,,,
2456105.98667,11.628,0.014,,B,HQA,,ENSEMBLE,,,BSM,1,1.000,Z,,,,PNV J17522579-2126215,,STD,1,,,
2456105.98667,8.824,0.009,,R,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17522579-2126215,,STD,1,,,
2456105.98667,7.775,0.011,,I,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17522579-2126215,,STD,1,,,
2456106.4264,11.2,,,Vis.,AAX,BK,110,114,7963JB,MOON TYC,,,Z,,,,PNV J17522579-2126215,REA,STD,,,,
2456106.60139,10.9,,,Vis.,SLH,,10.6,11.4,7994 hy,,,,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456106.6125,11.0,,,Vis.,BRJ,,105,111,7993U,,,,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456106.6750,11.1,,,Vis.,BRJ,,105,114,7993U,,,,Z,,,,PNV J17522579-2126215,AAVSO,STD,,,,
2456106.69818,10.805,0.014,,V,HQA,,ENSEMBLE,,,BSM,1,1.000,Z,,,,PNV J17522579-2126215,,STD,2,,,
2456106.69818,12.283,0.049,,B,HQA,,ENSEMBLE,,,BSM,1,1.000,Z,,,,PNV J17522579-2126215,,STD,2,,,
2456106.69818,9.423,0.021,,R,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17522579-2126215,,STD,2,,,
2456106.69818,8.360,0.023,,I,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17522579-2126215,,STD,2,,,
2456106.72073,9.407,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.830,Z,,10.910,,PNV J17522579-2126215,,STD,0,,,
2456106.72161,9.449,0.004,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.825,Z,,10.939,,PNV J17522579-2126215,,STD,0,,,
2456106.72245,9.413,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.821,Z,,10.869,,PNV J17522579-2126215,,STD,0,,,
2456106.72330,9.463,0.004,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.817,Z,,10.922,,PNV J17522579-2126215,,STD,0,,,
2456106.72416,9.433,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.813,Z,,10.913,,PNV J17522579-2126215,,STD,0,,,
2456106.72501,9.452,0.004,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.809,Z,,10.920,,PNV J17522579-2126215,,STD,0,,,
2456106.72587,9.470,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.806,Z,,10.905,,PNV J17522579-2126215,,STD,0,,,
2456106.72672,9.456,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.802,Z,,10.917,,PNV J17522579-2126215,,STD,0,,,
2456106.72758,9.450,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.798,Z,,10.909,,PNV J17522579-2126215,,STD,0,,,
2456106.72848,9.441,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.794,Z,,10.894,,PNV J17522579-2126215,,STD,0,,,
2456106.72935,9.444,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.791,Z,,10.911,,PNV J17522579-2126215,,STD,0,,,
2456106.73030,9.473,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.787,Z,,10.896,,PNV J17522579-2126215,,STD,0,,,
2456106.73113,9.461,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.784,Z,,10.904,,PNV J17522579-2126215,,STD,0,,,
2456106.73201,9.445,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.781,Z,,10.890,,PNV J17522579-2126215,,STD,0,,,
2456106.73287,9.453,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.778,Z,,10.892,,PNV J17522579-2126215,,STD,0,,,
2456106.73374,9.465,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.774,Z,,10.901,,PNV J17522579-2126215,,STD,0,,,
2456106.73459,9.477,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.771,Z,,10.915,,PNV J17522579-2126215,,STD,0,,,
2456106.73546,9.453,0.003,,R,PSD,,ENSEMBLE,114,8011OH,,0,1.769,Z,,10.919,,PNV J17522579-2126215,,STD,0,,,
