JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458198.9438,6.5,,,Vis.,SRX,,NA,,NA,65,,,Z,,,,V906 CAR,AAVSO,STD,,,,
2458198.9438,6.5,,,Vis.,SRX,,65,70,n/a,,,,Z,,,,ASASSN-18FV,RASNZ-VSS,STD,,,,
2458198.97847,7.4,,,Vis.,PEX,,70,76,X22768BL,,,,Z,,,,ASASSN-18fv,AAVSO,STD,,,,
2458198.98819,7.2,,,Vis.,PEX,,70,76,X22768BL,,,,Z,,,,ASASSN-18fv,AAVSO,STD,,,,
2458199.04653,7.1,,,Vis.,PEX,,71,,X22768BL,,,,Z,,,,ASASSN-18fv,AAVSO,STD,,,,
2458199.10833,6.4,,,Vis.,HSP,,63,65,X22781MZ,,,,Z,,,,ASASSN-18FV,RASNZ-VSS,STD,,,,
2458199.134,5.9,,,Vis.,BNK,S,51,55,X22768DB,,,,Z,,,,NOVA CAR 2018,AAVSO,STD,,,,
2458199.4611,6.38,,,Vis.,OSE,,63SE,65,X22781LN,,,,Z,,,,ASASSN-18fv,AAVSO,STD,,,,
2458199.61042,7.0,,,Vis.,AAX,UZ,65,73,X22768BL,CLOUDS,,,Z,,,,ASASSN-18FV,NEOA-JBS,STD,,,,
2458199.63194,6.9,,,Vis.,AAX,,65,70,X22768BL,"""Refractor 90mm f/10 [60mm f/15], eyepiece 32mm, comps at same field.""",,,Z,,,,ASASSN-18FV,NEOA-JBS,STD,,,,
2458199.9451,7.3,,,Vis.,SRX,W,NA,,NA,73,,,Z,,,,V906 CAR,AAVSO,STD,,,,
2458199.98611,7.2,,,Vis.,KEI,,71,72,X22783CE,,,,Z,,,,ASASSN-18FV,AAVSO,STD,,,,
2458200.01875,7.4,,,Vis.,PEX,,70,76,X22783B,,,,Z,,,,ASASSN-18fv,AAVSO,STD,,,,
2458200.024275,6.9,0.1,,V,LPAE,,000-BMP-922,000-BMP-925,X22784CVL,,0,1.235,Z,15.21538,16.65862,,ASASSN-18FV,AAVSO,STD,,,,
