Name,geq_20,AAVSO data usable?,xlim_1,xlim_2,decline_start,recover_end,Recurrent,Giant,category,Official,Name Source,d_start,d_bottom
DE Cir,0,,-1,,0,1000,0,0,-2,DE Cir,CBAT,,
FM Cir,1,1,-1,200,0,200,0,0,-1,FM Cir,Koji's List,,
N Cen 2012b,1,1,-1,200,0,200,0,0,1,V1428 Cen,Koji's List,20,55
N Cen 2017,1,,-1,,0,1000,0,0,0,V1405 Cen,Koji's List,,
N LMC 1996,1,,-1,,0,1000,0,0,-2,N LMC 1996,SMARTS,,
N LMC 2005,1,1,-1,250,0,300,0,0,2,N LMC 2005,SMARTS,73,110
N LMC 2009a,1,,-1,,0,1000,0,0,-1,N LMC 2009a,SMARTS,,
N LMC 2009b,1,,-1,,0,800,0,0,2,N LMC 2009b,SMARTS,50,90
N LMC 2012a,1,,-1,,0,1000,0,0,0,N LMC 2012a,SMARTS,,
N LMC 2012b,0,,-1,,0,1000,0,0,-3,N LMC 2012b,SMARTS,,
N LMC 2013,1,0,-1,250,0,250,0,0,2,N LMC 2013,SMARTS,48,110
N LMC 2015,1,,-1,,0,1000,0,0,-2,N LMC 2015,SMARTS,,
N LMC 2018a,0,,-1,,0,1000,0,0,-3,N LMC 2018a,SMARTS,,
N LMC 2018b,0,,-1,,0,1000,0,0,-3,N LMC 2018b,SMARTS,,
N Lup 2018,0,,-1,,0,1000,0,0,-3,V408 Lup,Koji's List,,
N Mus 2018,1,1,-1,180,0,200,0,0,2,V357 Mus,Koji's List,20,65
N Oph 2017,1,1,-1,365,0,400,0,0,2,V3662 Oph,Koji's List,45,60
N Oph 2018b,1,,-1,,0,1000,0,0,-2,V3665 Oph,Koji's List,,
N Oph 2018c,0,,-1,,0,1000,0,0,-3,V3666 Oph,Koji's List,,
NR Tra,1,,-1,,0,1000,0,0,-2,NR TrA,Koji's List,,
N Sco 2018a,1,1,-1,125,0,150,0,0,2,V1661 Sco,Koji's List,13,55
N Sco 2018b,1,0,-1,150,0,110,0,0,1,V1662 Sco,Koji's List,14,47
N SMC 2012,0,,-1,,0,1000,0,0,-3,N SMC 2012,SMARTS,,
N SMC 2016,1,,-1,,0,1000,0,0,-2,N SMC 2016,SMARTS,,
PR Lup,1,,-1,365,0,1000,0,0,-1,PR Lup,Koji's List,,
QY Mus,1,,-1,,0,1000,0,0,-2,QY Mus,Koji's List,,
RS Oph,1,1,-1,365,0,250,1,1,0,RS Oph,Koji's List,,
T Pyx,1,,-1,,0,1000,1,0,-2,T Pyx,Koji's List,,
V1047 Cen,0,,-1,,0,1000,0,0,-3,V1047 Cen,CBAT,,
V1065 Cen,0,,-1,,0,1000,0,0,-3,V1065 Cen,CBAT,,
V1187 Sco ,1,,-1,500,0,1000,0,0,-2,V1187 Sco,CBAT,,
V1213 Cen,1,,-1,,0,1000,0,0,-2,V1213 Cen,CBAT,,
V1280 Sco,1,,-1,,0,1000,0,0,-2,V1280 Sco,CBAT,,
V1309 Sco,0,,-1,,0,1000,0,0,-3,V1309 Sco,CBAT,,
V1311 Sco,1,,-1,,0,1000,0,0,-2,V1311 Sco,CBAT,,
V1312 Sco,1,1,-1,300,0,1000,0,0,0,V1312 Sco,Koji's List,,
V1313 Sco,1,,-1,,0,1000,0,0,-2,V1313 Sco,Koji's List,,
V1324 Sco,1,1,-1,360,0,360,0,0,2,V1324 Sco,Koji's List,19,47
V1368 Cen,1,1,-10,400,0,300,0,0,2,V1368 Cen,Koji's List,36,70
