# PR_STOUT run at Thu Aug 29 11:46:49 2019
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
7893.60498   I    8.880  0.001  3.05E-13  1.06    170519 Andicam
7893.60547   B   11.730  0.002  1.23E-13  1.35    170519 Andicam
7893.60742   R    9.661  0.001  2.93E-13  1.06    170519 Andicam
7894.56445   I    9.075  0.001  2.55E-13  0.97    170520 Andicam
7894.56543   B   11.972  0.002  9.81E-14  1.04    170520 Andicam
7894.56738   R    9.869  0.001  2.42E-13  0.89    170520 Andicam
7895.56445   I    9.147  0.001  2.39E-13  0.78    170521 Andicam
7895.56494   B   11.967  0.002  9.86E-14  1.04    170521 Andicam
7895.56689   R    9.869  0.001  2.42E-13  0.83    170521 Andicam
7901.55420   I    8.877  0.001  3.06E-13  1.14    170527 Andicam
7901.55518   B   11.618  0.002  1.36E-13  1.38    170527 Andicam
7901.55615   V   10.685  0.002  1.92E-13  1.22    170527 Andicam
7901.55664   R    9.579  0.001  3.16E-13  1.09    170527 Andicam
7902.58301   I    9.056  0.001  2.59E-13  0.89    170528 Andicam
7902.58350   B   11.901  0.002  1.05E-13  1.11    170528 Andicam
7902.58447   V   10.935  0.001  1.53E-13  1.00    170528 Andicam
7902.58545   R    9.798  0.001  2.58E-13  0.90    170528 Andicam
7903.63672   I    9.186  0.001  2.30E-13  0.94    170529 Andicam
7903.63721   B   11.978  0.002  9.76E-14  1.26    170529 Andicam
7903.63818   V   11.049  0.001  1.37E-13  1.08    170529 Andicam
7903.63916   R    9.860  0.001  2.44E-13  0.97    170529 Andicam
7904.56006   I    9.407  0.001  1.88E-13  0.55    170530 Andicam
7904.56055   B   12.331  0.002  7.05E-14  0.66    170530 Andicam
7904.56152   V   11.475  0.001  9.28E-14  0.64    170530 Andicam
7904.56250   R   10.114  0.001  1.93E-13  0.57    170530 Andicam
7905.53418   I    9.579  0.001  1.60E-13  0.59    170531 Andicam
7905.53467   B   12.443  0.001  6.36E-14  0.66    170531 Andicam
7905.53564   V   11.576  0.001  8.46E-14  0.61    170531 Andicam
7905.53662   R   10.231  0.001  1.73E-13  0.56    170531 Andicam
7906.50488   I    9.456  0.001  1.79E-13  0.48    170601 Andicam
7906.50586   B   12.278  0.002  7.40E-14  0.64    170601 Andicam
7906.50684   V   11.381  0.001  1.01E-13  0.58    170601 Andicam
7906.50781   R   10.088  0.001  1.98E-13  0.54    170601 Andicam
7908.51465   I    9.447  0.008  1.81E-13  0.83    170603 Andicam
7908.51514   B   12.292  0.019  7.31E-14  0.87    170603 Andicam
7908.51660   V   11.323  0.010  1.07E-13  0.84    170603 Andicam
7908.51709   R   10.134  0.015  1.89E-13  0.71    170603 Andicam
7910.48779   I    9.613  0.017  1.55E-13  0.74    170604 Andicam
7910.48828   B   12.452  0.029  6.31E-14  0.89    170604 Andicam
7910.48975   V   11.474  0.016  9.29E-14  0.87    170604 Andicam
7910.49072   R   10.296  0.036  1.63E-13  0.71    170604 Andicam
7911.49658   I    9.347  0.001  1.98E-13  0.93    170605 Andicam
7911.49756   B   12.083  0.002  8.86E-14  1.04    170605 Andicam
7911.49854   V   11.144  0.001  1.26E-13  0.90    170605 Andicam
7911.49951   R   10.006  0.001  2.13E-13  0.80    170605 Andicam
