# PR_STOUT run at Thu Jun 11 13:48:51 2009
 
   col1    col2   col3   col4
(+2450000)        Mag.
3703.68798   H   11.141  0.030
3703.68906   K   10.585  0.061
3703.69027   J   11.368  0.061
3705.71581   H   11.042  0.034
3705.71756   K   10.662  0.061
3705.71931   J   11.420  0.042
3708.69013   H   11.088  0.039
3708.69184   K   11.014  0.074
3708.69359   J   11.474  0.048
3711.65370   H   11.114  0.037
3711.65541   K   10.879  0.068
3711.65716   J   11.359  0.044
3714.64692   H   11.204  0.036
3714.64867   K   10.947  0.072
3714.65042   J   11.459  0.048
3717.67172   H   11.660  0.042
3717.67347   K   11.342  0.082
3717.67526   J   11.766  0.053
3720.66781   H   11.143  0.036
3720.66956   K   10.962  0.066
3720.67135   J   11.355  0.042
3723.63240   H   11.353  0.047
3723.63415   K   11.085  0.098
3723.63594   J   11.622  0.065
3726.66543   H   11.432  0.045
3726.66722   K   11.281  0.077
3726.66897   J   11.650  0.048
3745.60708   K   11.135  0.081
3745.60887   J   11.607  0.055
3745.61187   H   11.444  0.046
3748.61011   K   11.058  0.073
3748.61190   J   11.484  0.048
3748.61486   H   11.331  0.040
3750.63325   K   11.144  0.078
3750.63504   J   11.601  0.056
3750.63800   H   11.478  0.045
3751.63007   K   11.341  0.078
3751.63182   J   11.635  0.050
3751.63486   H   11.567  0.043
3752.61389   K   11.400  0.080
3752.61564   J   11.859  0.055
3752.61860   H   11.722  0.046
3753.59925   K   11.494  0.096
3753.60100   J   11.733  0.061
3753.60392   H   11.691  0.047
3754.60049   K   11.468  0.087
3754.60228   J   11.764  0.057
3754.60520   H   11.717  0.047
3755.58390   K   11.624  0.090
3755.58569   J   11.920  0.057
3755.58869   H   11.920  0.050
3756.56226   K   12.121  0.105
3756.56405   J   12.423  0.067
3756.56697   H   12.424  0.059
3757.60920   K   12.129  0.117
3757.61100   J   12.307  0.073
3757.61395   H   12.365  0.059
3758.58511   K   11.908  0.106
3758.58690   J   12.203  0.070
3758.58990   H   12.158  0.054
3759.58481   K   12.117  0.101
3759.58660   J   12.466  0.065
3759.58952   H   12.445  0.058
3760.61738   K   12.531  0.124
3760.61917   J   12.763  0.073
3760.62217   H   12.792  0.065
3761.64762   K   12.787  0.148
3761.64941   J   12.954  0.091
3761.65366   H   13.132  0.078
3762.58770   K   12.496  0.136
