# PR_STOUT run at Thu Jun 11 13:49:07 2009
 
   col1     col2  col3   col4
(+2450000)        Mag.
3703.68798   I    9.174  0.014
3703.68906   R   12.189  0.011
3703.69027   V   13.464  0.006
3703.69144   B   13.228  0.004
3705.71581   B   12.507  0.001
3705.71756   V   12.693  0.001
3705.71935   R   10.940  0.002
3705.72051   I    8.372  0.002
3708.69017   I    8.268  0.002
3708.69188   R   10.675  0.002
3708.69363   V   12.278  0.001
3708.69475   B   12.063  0.001
3711.65370   B   12.001  0.001
3711.65545   V   12.213  0.001
3711.65707   R   10.583  0.002
3711.65832   I    8.192  0.002
3714.64696   I    8.254  0.002
3714.64867   R   10.663  0.002
3714.65042   V   12.410  0.001
3714.65159   B   12.154  0.001
3717.67176   I    8.618  0.002
3717.67351   R   10.971  0.002
3717.67530   V   12.863  0.001
3717.67651   B   12.542  0.002
3720.66785   I    8.205  0.002
3720.66960   R   10.640  0.002
3720.67139   V   12.280  0.001
3720.67260   B   12.103  0.002
3723.63240   I    8.759  0.004
3723.63419   R   11.287  0.004
3723.63598   V   12.967  0.002
3723.63719   B   12.620  0.002
3726.66547   I    8.409  0.002
3726.66722   R   10.739  0.002
3726.66906   V   12.450  0.001
3726.67022   B   12.197  0.001
3745.60712   B   12.246  0.002
3745.60891   I    8.267  0.002
3745.61012   R   10.868  0.003
3745.61187   V   12.465  0.001
3748.61011   B   12.117  0.002
3748.61190   I    8.159  0.002
3748.61311   R   10.720  0.002
3748.61490   V   12.350  0.001
3750.63333   B   12.582  0.002
3750.63508   I    8.388  0.002
3750.63625   R   11.023  0.002
3750.63804   V   12.844  0.002
3751.63011   B   12.248  0.002
3751.63186   I    8.296  0.001
3751.63307   R   10.806  0.002
3751.63490   V   12.530  0.001
3752.61389   B   12.815  0.002
3752.61568   I    8.556  0.001
3752.61685   R   11.189  0.002
3752.61864   V   13.143  0.002
3753.59929   B   12.366  0.001
3753.60104   I    8.418  0.002
3753.60221   R   10.932  0.002
3753.60400   V   12.679  0.001
3754.60057   B   12.431  0.001
3754.60232   I    8.464  0.002
3754.60349   R   10.984  0.002
3754.60524   V   12.739  0.001
3755.58394   B   12.574  0.001
3755.58573   I    8.557  0.002
3755.58694   R   11.078  0.002
3755.58873   V   12.922  0.002
3756.56230   B   13.231  0.002
3756.56409   I    9.026  0.002
3756.56522   R   11.576  0.003
3756.56701   V   13.624  0.002
3757.52646   B   14.429  0.009
3757.52921   I    9.625  0.006
3757.53055   R   12.166  0.005
3757.53309   V   14.253  0.007
3757.60925   B   12.831  0.002
3757.61100   I    8.886  0.002
3757.61220   R   11.378  0.003
3757.61395   V   13.187  0.002
3757.75594   I    9.274  0.005
3757.75757   B   13.444  0.008
3757.75869   V   13.620  0.005
3757.76069   R   11.702  0.004
3758.58515   B   12.736  0.001
3758.58695   I    8.804  0.002
3758.58815   R   11.316  0.002
3758.58995   V   13.052  0.002
3759.54427   B   13.607  0.006
3759.54523   V   13.833  0.004
3759.54623   R   11.793  0.004
3759.54748   I    9.408  0.005
3759.58485   B   10.258  0.068
3759.58664   I    5.634  0.057
3759.58781   R    9.016  0.056
3759.58956   V   10.686  0.059
3759.74517   B   13.680  0.007
3759.74613   V   13.930  0.005
3759.74709   R   11.841  0.004
3759.74805   I    9.424  0.005
3760.53977   B   13.882  0.007
3760.54072   V   14.101  0.005
3760.54168   R   12.009  0.004
3760.54268   I    9.611  0.006
3760.61742   B   13.533  0.002
3760.61922   I    9.327  0.002
3760.62042   R   11.856  0.003
3760.62222   V   13.901  0.002
3760.75558   V   14.415  0.006
3760.75725   B   14.208  0.009
3760.75845   R   12.265  0.004
3760.75958   I    9.872  0.007
3761.64766   B   13.633  0.002
3761.64946   I    9.357  0.002
3761.65066   R   11.945  0.003
3761.65366   V   14.005  0.002
3762.58775   B   13.027  0.002
3762.58950   I    9.080  0.002
3762.59066   R   11.580  0.003
3762.59245   V   13.353  0.002
3763.54499   B   13.709  0.002
3763.54678   I    9.482  0.002
3763.54799   R   12.066  0.003
3763.54978   V   14.079  0.003
3764.61006   V   13.648  0.002
3764.61281   R   11.846  0.003
3764.61556   I    9.342  0.002
3764.61702   B   13.309  0.002
3765.60531   B   14.134  0.003
3765.60839   I    9.838  0.003
3765.61052   R   12.416  0.004
3765.61260   V   14.573  0.003
3766.53985   B   13.493  0.002
3766.54164   I    9.401  0.002
3766.54289   R   11.973  0.003
3766.54469   V   13.844  0.002
3770.62592   B   13.927  0.003
3770.62767   I    9.754  0.003
3770.62888   R   12.366  0.004
3770.63067   V   14.381  0.003
3771.56913   B   13.504  0.002
3771.57093   I    9.547  0.002
3771.57213   R   12.052  0.003
3771.57393   V   13.854  0.002
3772.57914   B   13.070  0.002
3772.58093   I    9.190  0.002
3772.58209   R   11.725  0.003
3772.58388   V   13.400  0.002
3773.54910   B   12.907  0.002
3773.55089   I    9.012  0.002
3773.55210   R   11.548  0.003
3773.55389   V   13.202  0.002
3774.55427   B   12.716  0.002
3774.55606   I    8.765  0.002
3774.55727   R   11.334  0.002
3774.55906   V   12.984  0.002
3775.53369   B   12.890  0.002
3775.53548   I    8.935  0.002
3775.53669   R   11.478  0.002
3775.53848   V   13.201  0.002
3776.52961   B   13.219  0.002
3776.53141   I    9.216  0.002
3776.53261   R   11.769  0.003
3776.53441   V   13.605  0.002
3777.57612   B   13.495  0.002
3777.57791   I    9.460  0.002
3777.57912   R   11.995  0.003
3777.58091   V   13.890  0.002
3778.54080   B   13.524  0.002
3778.54259   I    9.500  0.002
3778.54380   R   12.069  0.003
3778.54559   V   13.943  0.003
3780.56186   B   13.958  0.003
3780.56365   I   10.163  0.007
3780.56485   R   12.286  0.004
3780.56665   V   14.255  0.003
3782.57213   V   14.338  0.003
3782.57392   R   12.300  0.004
3782.57513   I    9.673  0.003
3782.57692   B   13.879  0.003
3783.56260   V   14.043  0.003
3783.56439   R   12.156  0.004
3783.56556   I    9.601  0.003
3783.56739   B   13.617  0.002
3784.54537   V   14.654  0.004
3784.54716   R   12.499  0.004
3784.54837   I    9.958  0.003
3784.55016   B   14.179  0.003
3785.56876   V   14.865  0.004
3785.57055   R   12.497  0.004
3785.57176   I    9.907  0.003
3785.57355   B   14.369  0.003
3786.53440   V   14.868  0.004
3786.53620   R   12.427  0.004
3786.53740   I    9.941  0.003
3786.53920   B   14.370  0.003
3787.56301   V   14.783  0.004
3787.56480   R   12.452  0.004
3787.56601   I    9.921  0.003
3787.56780   B   14.298  0.003
3788.55628   V   14.062  0.003
3788.55807   R   12.094  0.003
3788.55928   I    9.558  0.002
3788.56107   B   13.620  0.002
3789.58188   V   14.570  0.003
3789.58367   R   12.461  0.004
3789.58488   I    9.923  0.003
3789.58667   B   14.116  0.003
3790.54957   V   14.620  0.003
3790.55136   R   12.379  0.004
