# PR_STOUT run at Fri Oct 12 11:25:39 2012
 
   col1    col2   col3   col4
(+2450000)        Mag.       
4967.45966   H    6.927  0.048 
4967.45987   J    3.806  0.065 
4967.46012   K    7.066  0.122 
5023.95280   H    7.495  0.042 
5023.95301   J    9.134  0.095 
5023.95326   K    5.906  0.030 
5045.85613   H    6.415  0.024 
5045.85634   J    8.688  0.078 
5045.85659   K    4.192  0.016 
5064.88772   H    8.618  0.064 
5064.88797   J   11.322  0.226 
5064.88818   K    6.126  0.033 
5082.86066   H    9.432  0.136 
5082.86087   J   11.138  0.021 
5082.86112   K    5.565  0.066 
5096.84979   H    8.945  0.076 
5096.85004   J   10.051  0.191 
5096.85024   K    6.504  0.033 
5111.77280   H    8.471  0.062 
5111.77301   J   10.743  0.182 
5111.77326   K    5.884  0.032 
5113.75760   H    7.919  0.060 
5113.75785   J   10.628  0.180 
5113.75806   K    5.959  0.030 
5118.80116   H    8.107  0.054 
5118.80141   J   10.679  0.169 
5118.80162   K    5.756  0.029 
5121.77863   H    7.860  0.050 
5121.77888   J   10.559  0.168 
5121.77909   K    5.551  0.030 
5125.75298   H    8.050  0.052 
5125.75319   J   11.083  0.250 
5125.75340   K    5.746  0.032 
5128.74133   H    7.985  0.061 
5128.74158   J   10.681  0.208 
5128.74179   K    5.908  0.035 
5129.71821   H    8.126  0.056 
5129.71842   J   10.581  0.155 
5129.71867   K    5.825  0.032 
5133.72840   H    7.777  0.068 
5133.72861   J   10.572  0.207 
5133.72881   K    5.893  0.038 
5137.71254   H    8.254  0.054 
5137.71275   J   10.710  0.176 
5137.71300   K    5.577  0.032 
5140.70576   H    7.798  0.053 
5140.70601   J    9.816  0.134 
5140.70622   K    5.740  0.034 
5143.68278   H    7.916  0.048 
5143.68303   J   10.375  0.147 
5143.68324   K    5.793  0.030 
5146.65667   H    8.052  0.054 
5146.65692   J   10.434  0.169 
5146.65713   K    6.029  0.031 
5149.70239   H    8.199  0.066 
5149.70285   K    5.392  0.042 
5152.68949   H    8.186  0.059 
5155.73167   H    8.104  0.038 
5155.73192   J   11.185  0.358 
5155.73213   K    6.121  0.027 
5158.67431   H    7.991  0.106 
5158.67452   J   12.958  1.132 
5158.67477   K    6.472  0.028 
5174.75313   H    8.661  0.070 
5174.75343   J   16.937  2.906 
5174.75368   K    6.495  0.040 
5184.71834   H    8.765  0.086 
5184.71863   J   11.041  0.236 
5184.71888   K    6.351  0.051 
5206.64733   H    9.197  0.091 
5206.64762   J   11.590  0.263 
5206.64787   K    6.983  0.054 
5257.60078   H   10.154  0.197 
5257.60111   J   11.266  0.553 
5257.60144   K    8.459  0.114 
5261.57156   H   10.354  0.150 
5261.57189   J   12.399  0.360 
5261.57223   K    8.647  0.088 
5288.51844   H   10.799  0.177 
5288.51878   J   12.172  0.316 
5288.51911   K    9.359  0.119 
5320.45993   H   11.645  0.245 
5320.46026   J   13.008  0.409 
5320.46059   K    9.791  0.186 
5387.93134   H   12.176  0.280 
5387.93168   J   13.080  0.411 
5387.93201   K   11.295  0.353 
5412.86780   H   12.786  0.460 
5412.86813   J   13.445  0.519 
5412.86847   K   11.308  0.365 
5445.90462   H   13.248  0.326 
5445.90495   J   13.485  0.496 
5445.90524   K   13.966  0.497 
5473.83587   H   12.929  0.279 
5473.83620   J   13.292  0.401 
5473.83654   K   17.089  1.988 
5502.72825   H   13.689  0.383 
5502.72858   J   13.999  0.505 
5502.72887   K   13.817  0.508 
5540.66968   H   11.916  0.293 
5540.67001   J   13.445  0.459 
5540.67034   K   13.739  1.241 
5572.64696   H   12.857  0.381 
5572.64729   J   13.688  0.522 
5572.64762   K   15.425  3.813 
5606.60321   H   12.304  0.352 
5606.60354   J   13.578  0.415 
5606.60387   K   15.081  3.881 
5627.52835   H   12.073  0.344 
5627.52868   J   13.790  0.631 
5627.52902   K   15.429  3.781 
5652.51957   H   11.872  0.283 
5652.51991   J   13.103  0.403 
5652.52024   K   15.693  3.723 
5766.94540   H   11.847  0.269 
5766.94573   J   13.655  0.537 
5766.94602   K   15.255  3.714 
5777.86526   H   12.338  0.360 
5777.86559   J   14.388  0.267 
5777.86593   K   14.613  1.626 
5807.81328   H   12.313  0.359 
5807.81361   J   16.471  2.467 
5807.81394   K   12.220  1.055 
5861.72834   H   16.890  2.368 
5861.72864   J   14.120  0.583 
5861.72897   K   10.870  0.430 
5890.67773   H   14.667  1.373 
5890.67807   J   15.083  0.752 
5890.67840   K   10.334  0.393 
5926.64097   H   12.582  0.400 
5926.64126   J   14.367  0.773 
5926.64159   K   12.653  1.308 
5957.58353   H   12.937  0.536 
5957.58387   J   16.252  0.740 
5957.58416   K   11.892  0.975 
5974.57129   H   13.020  0.388 
5974.57158   J   15.190  0.816 
5974.57191   K   11.743  0.787 
6204.79012   H   17.098  1.399 
6204.79041   J   12.431  0.367 
6204.79075   K   16.198  1.826 
