# PR_STOUT run at Fri Oct 12 11:25:38 2012
 
   col1    col2   col3   col4
(+2450000)        Mag.       
4967.45966   I   12.021  0.007 
4967.46049   B   12.698  0.005 
4967.46128   V   12.601  0.007 
4967.46207   R   12.196  0.011 
5023.95284   I   13.987  0.013 
5023.95371   B   14.613  0.010 
5023.95459   V   14.616  0.011 
5023.95546   R   14.099  0.010 
5045.85618   I   16.755  0.061 
5045.85705   B   18.463  0.113 
5045.85788   V   18.498  0.145 
5045.85872   R   17.080  0.051 
5064.88776   I   17.054  0.062 
5064.88864   B   19.042  0.113 
5064.88951   V   18.362  0.081 
5064.89034   R   17.273  0.041 
5082.86071   I   18.267  1.030 
5082.86158   B   18.749  0.331 
5082.86241   V   18.835  0.366 
5082.86325   R   17.330  0.324 
5096.84983   I   16.929  0.055 
5096.85070   B   18.160  0.053 
5096.85154   V   17.984  0.060 
5096.85241   R   17.063  0.034 
5111.77280   I   15.638  0.022 
5111.77367   B   15.536  0.010 
5111.77455   V   15.949  0.017 
5111.77538   R   15.582  0.015 
5113.75764   I   15.685  0.021 
5113.75852   B   15.548  0.010 
5113.75935   V   15.997  0.015 
5113.76022   R   15.683  0.014 
5118.80120   I   15.923  0.024 
5118.80208   B   15.877  0.010 
5118.80291   V   16.324  0.016 
5118.80375   R   15.900  0.014 
5121.77868   I   16.408  0.035 
5121.77955   B   16.567  0.016 
5121.78038   V   16.780  0.023 
5121.78122   R   16.338  0.020 
5125.75303   I   16.249  0.031 
5125.75386   B   16.449  0.014 
5125.75473   V   16.663  0.021 
5125.75557   R   16.091  0.017 
5128.74137   I   16.364  0.040 
5128.74225   B   16.573  0.018 
5128.74312   V   16.667  0.023 
5128.74396   R   16.150  0.019 
5129.71825   I   16.348  0.033 
5129.71913   B   16.702  0.017 
5129.71996   V   16.765  0.023 
5129.72079   R   16.182  0.018 
5133.72844   I   16.431  0.054 
5133.72927   B   16.569  0.031 
5133.73015   V   16.656  0.034 
5133.73098   R   16.049  0.025 
5137.71258   I   16.459  0.047 
5137.71346   B   16.706  0.033 
5137.71433   V   16.719  0.040 
5137.71517   R   16.085  0.026 
5140.70581   I   16.356  0.042 
5140.70668   B   16.571  0.023 
5140.70751   V   16.595  0.027 
5140.70839   R   15.990  0.020 
5143.68282   I   16.183  0.031 
5143.68370   B   16.428  0.015 
5143.68453   V   16.423  0.018 
5143.68540   R   15.822  0.014 
5146.65671   I   16.390  0.036 
5146.65758   B   16.665  0.017 
5146.65842   V   16.660  0.021 
5146.65925   R   15.969  0.016 
5149.70243   I   16.397  0.047 
5149.70331   B   16.601  0.019 
5149.70414   V   16.595  0.024 
5149.70497   R   15.938  0.019 
5152.68953   I   16.439  0.040 
5152.69041   B   16.596  0.017 
5152.69124   V   16.576  0.020 
5152.69207   R   15.966  0.016 
5155.73171   I   16.253  0.031 
5155.73259   B   16.624  0.016 
5155.73342   V   16.613  0.022 
5155.73425   R   15.984  0.021 
5158.67435   I   16.348  0.077 
5158.67523   B   16.493  0.056 
5158.67610   V   16.568  0.020 
5158.67698   R   15.919  0.015 
5174.75318   I   16.419  0.024 
5174.75430   B   16.547  0.011 
5174.75538   V   16.487  0.012 
5174.75651   R   15.893  0.010 
5206.64737   I   16.581  0.030 
5206.64850   B   16.645  0.011 
5206.64962   V   16.397  0.011 
5206.65070   R   16.103  0.011 
5229.68329   I   16.739  0.031 
5229.68458   B   16.861  0.017 
5229.68587   V   16.497  0.015 
5229.68712   R   16.400  0.016 
5257.60082   I   16.993  0.050 
5257.60211   B   17.052  0.037 
5257.60344   V   16.582  0.022 
5257.60469   R   16.791  0.039 
5261.57160   I   17.047  0.031 
5261.57289   B   17.195  0.012 
5261.57419   V   16.600  0.010 
5261.57548   R   16.840  0.015 
5288.51849   I   17.319  0.048 
5288.51982   B   17.462  0.018 
5288.52111   V   16.730  0.013 
5288.52240   R   17.098  0.022 
5387.93138   I   17.762  0.065 
5387.93272   B   18.326  0.031 
5387.93401   V   17.216  0.017 
5387.93530   R   17.762  0.034 
5412.86784   I   17.817  0.074 
5412.86918   B   18.492  0.042 
5412.87047   V   17.344  0.021 
5412.87176   R   17.889  0.040 
5445.90466   I   18.103  0.063 
5445.90595   B   18.936  0.038 
5445.90728   V   17.847  0.022 
5445.90858   R   18.288  0.041 
5473.83591   I   18.031  0.055 
5473.83724   B   18.901  0.037 
5473.83854   V   17.810  0.022 
5473.83983   R   18.209  0.036 
5502.72829   I   18.144  0.062 
5502.72962   B   19.039  0.040 
5502.73092   V   17.868  0.022 
5502.73221   R   18.231  0.035 
5540.66972   I   18.219  0.067 
5540.67105   B   19.202  0.046 
5540.67239   V   17.980  0.024 
5540.67368   R   18.459  0.043 
5606.60325   I   18.173  0.080 
5606.60458   B   19.195  0.084 
5606.60591   V   18.139  0.042 
5606.60725   R   18.365  0.060 
5627.52839   I   18.262  0.091 
5627.52973   B   19.214  0.065 
5627.53102   V   18.155  0.035 
5627.53231   R   18.328  0.051 
5652.51961   I   18.065  0.071 
5652.52095   B   19.395  0.065 
5652.52224   V   18.109  0.032 
5652.52353   R   18.396  0.052 
5690.46249   I   16.441  1.088 
5690.46374   B   19.858  1.180 
5690.46499   V   18.364  0.414 
5690.46624   R   19.703  1.650 
5766.94544   I   18.159  0.177 
5766.94669   B   19.701  0.362 
5766.94794   V   18.545  0.154 
5766.94919   R   18.681  0.274 
5777.86530   I   18.179  0.088 
5777.86659   B   19.496  0.079 
5777.86784   V   18.575  0.049 
5777.86909   R   18.453  0.060 
5807.81332   I   18.377  0.121 
