# PR_STOUT run at Sat Dec  8 15:17:23 2012
 
   col1    col2   col3   col4
(+2450000)        Mag.       
6237.65536   H   11.740  0.040 
6237.65565   J   12.651  0.077 
6237.65590   K   10.648  0.037 
6238.69852   H   11.694  0.039 
6238.69881   J   12.718  0.077 
6238.69914   K   10.520  0.032 
6239.70984   H   11.631  0.037 
6239.71009   J   12.763  0.077 
6239.71038   K   10.438  0.031 
6242.71493   H   11.699  0.041 
6242.71522   J   13.156  0.092 
6242.71551   K   10.556  0.035 
6243.74121   H   11.610  0.041 
6243.74146   J   12.880  0.097 
6243.74175   K   10.326  0.032 
6244.69874   H   11.689  0.042 
6244.69903   J   12.982  0.093 
6244.69932   K   10.293  0.035 
6245.64277   H   11.682  0.041 
6245.64306   J   13.129  0.097 
6245.64335   K   10.545  0.035 
6249.63206   H   11.893  0.043 
6249.63235   J   13.390  0.106 
6249.63264   K   10.463  0.034 
6250.62326   H   11.954  0.044 
6250.62351   J   13.469  0.109 
6250.62380   K   10.508  0.031 
6251.62883   H   12.028  0.044 
6251.62912   J   13.558  0.114 
6251.62941   K   10.514  0.032 
6255.73604   H   12.365  0.050 
6255.73633   J   14.217  0.135 
6255.73662   K   10.990  0.034 
6258.67659   H   12.467  0.054 
6258.67689   J   14.192  0.153 
6258.67714   K   10.820  0.035 
6265.63345   H   12.788  0.067 
6265.63370   J   14.755  0.192 
6265.63399   K   10.948  0.045 
6268.68247   H   12.976  0.070 
6268.68276   J   15.098  0.221 
6268.68305   K   11.095  0.048 
