# PR_STOUT run at Sat Dec  8 15:17:22 2012
 
   col1    col2   col3   col4
(+2450000)        Mag.       
6237.65540   I   13.981  0.005 
6237.65653   B   14.785  0.004 
6237.65765   V   15.114  0.005 
6237.65874   R   13.548  0.004 
6238.69856   I   14.205  0.005 
6238.69981   B   14.937  0.004 
6238.70106   V   15.405  0.006 
6238.70227   R   13.743  0.003 
6239.70988   I   14.348  0.005 
6239.71101   B   15.077  0.004 
6239.71217   V   15.547  0.006 
6239.71330   R   13.883  0.004 
6240.69741   I   14.481  0.006 
6240.69858   B   15.153  0.005 
6240.69974   V   15.649  0.008 
6240.70087   R   13.983  0.007 
6242.71497   I   14.688  0.007 
6242.71610   B   15.308  0.005 
6242.71722   V   15.797  0.007 
6242.71835   R   14.259  0.005 
6243.74125   I   14.826  0.008 
6243.74242   B   15.435  0.005 
6243.74354   V   15.940  0.008 
6243.74467   R   14.376  0.006 
6244.69878   I   14.931  0.007 
6244.69995   B   15.502  0.005 
6244.70111   V   16.004  0.009 
6244.70224   R   14.500  0.006 
6245.64281   I   15.031  0.008 
6245.64398   B   15.579  0.005 
6245.64515   V   16.093  0.009 
6245.64627   R   14.583  0.006 
6249.63210   I   15.417  0.010 
6249.63327   B   15.872  0.006 
6249.63444   V   16.430  0.010 
6249.63560   R   14.952  0.007 
6250.62330   I   15.514  0.011 
6250.62443   B   15.956  0.006 
6250.62555   V   16.479  0.011 
6250.62663   R   15.050  0.008 
6251.62887   I   15.617  0.011 
6251.63004   B   16.022  0.007 
6251.63121   V   16.540  0.011 
6251.63233   R   15.152  0.008 
6255.73608   I   15.982  0.014 
6255.73721   B   16.235  0.008 
6255.73833   V   16.807  0.015 
6255.73941   R   15.473  0.010 
6258.67664   I   16.205  0.019 
6258.67776   B   16.403  0.012 
6258.67884   V   17.001  0.022 
6258.67997   R   15.722  0.013 
6265.63345   I   16.715  0.023 
6265.63457   B   16.741  0.010 
6265.63570   V   17.419  0.020 
6265.63682   R   16.195  0.015 
6268.68251   I   16.915  0.028 
6268.68363   B   16.832  0.010 
6268.68476   V   17.505  0.019 
6268.68584   R   16.367  0.018 
