# PR_STOUT run at Wed Aug 15 12:48:55 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
8329.90332   I   14.171  0.003  2.33E-15  0.97    180729 Andicam
8329.90430   B   15.309  0.004  4.54E-15  1.12    180729 Andicam
8329.90527   V   15.673  0.003  1.94E-15  1.10    180729 Andicam
8329.90625   R   14.307  0.003  4.05E-15  1.07    180729 Andicam
8332.87988   I   14.798  0.003  1.31E-15  1.07    180801 Andicam
8332.87988   B   16.336  0.005  1.76E-15  1.22    180801 Andicam
8332.88086   V   16.705  0.004  7.51E-16  1.10    180801 Andicam
8332.88184   R   14.922  0.003  2.30E-15  1.01    180801 Andicam
8342.87988   I   16.033  0.003  4.20E-16  0.80    180811 Andicam
8342.88086   B   17.842  0.004  4.40E-16  0.83    180811 Andicam
8342.88184   V   17.895  0.003  2.51E-16  0.83    180811 Andicam
8342.88281   R   16.162  0.003  7.35E-16  0.83    180811 Andicam
