# PR_STOUT run at Wed Aug 15 12:31:04 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
8341.63086   I    8.256  0.003  5.42E-13  0.64    180810 Andicam
8341.63184   V    9.417  0.009  6.18E-13  0.63    180810 Andicam
8341.63184   B   10.328  0.016  4.46E-13  0.61    180810 Andicam
8341.63281   R    8.791  0.005  6.52E-13  0.66    180810 Andicam
8343.58008   B   10.335  0.023  4.43E-13  0.56    180812 Andicam
8343.58008   I    7.687  0.004  9.15E-13  0.52    180812 Andicam
8343.58105   V    9.069  0.013  8.51E-13  0.58    180812 Andicam
8343.58203   R    8.326  0.008  1.00E-12  0.58    180812 Andicam
8344.59570   I    8.101  0.003  6.25E-13  0.59    180813 Andicam
8344.59668   V    9.462  0.009  5.93E-13  0.56    180813 Andicam
8344.59668   B   10.529  0.016  3.71E-13  0.60    180813 Andicam
8344.59766   R    8.764  0.005  6.68E-13  0.60    180813 Andicam
8345.56445   I    8.058  0.003  6.51E-13  0.57    180814 Andicam
8345.56543   B   10.803  0.016  2.88E-13  0.64    180814 Andicam
8345.56641   R    9.003  0.005  5.37E-13  0.58    180814 Andicam
8345.56641   V    9.830  0.009  4.22E-13  0.57    180814 Andicam
