# PR_STOUT run at Tue Nov 27 10:16:30 2012
 
   col1     col2  col3   col4
(+2450000)        Mag.       
6220.64734   I   16.375  0.018 
6220.64859   B   15.990  0.006 
6220.64980   V   16.559  0.010 
6220.65100   R   16.016  0.009 
6229.64886   I   16.614  0.032 
6229.65011   B   16.168  0.014 
6229.65136   V   16.707  0.022 
6229.65257   R   16.130  0.016 
6237.58526   I   16.774  0.024 
6237.58651   B   16.328  0.007 
6237.58776   V   16.712  0.011 
6237.58897   R   16.317  0.010 
6256.55884   I   16.831  0.027 
6256.56005   B   16.309  0.009 
6256.56126   V   16.742  0.014 
6256.56247   R   16.529  0.014 
