# PR_STOUT run at Sat Feb 17 16:14:22 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
7642.53809   I    9.617  0.001  1.55E-13  0.92    160910 Andicam
7642.53906   B   13.615  0.003  2.16E-14  1.11    160910 Andicam
7642.54004   V   12.233  0.002  4.62E-14  1.02    160910 Andicam
7642.54102   R   10.823  0.001  1.00E-13  1.12    160910 Andicam
7643.55615   I    9.774  0.001  1.34E-13  1.08    160911 Andicam
7643.55713   B   13.828  0.002  1.78E-14  1.16    160911 Andicam
7643.55811   V   12.499  0.002  3.61E-14  1.06    160911 Andicam
7643.55908   R   10.953  0.001  8.90E-14  1.13    160911 Andicam
7644.54492   I    9.966  0.001  1.12E-13  0.87    160912 Andicam
7644.54590   B   13.967  0.003  1.56E-14  1.01    160912 Andicam
7644.54688   V   12.682  0.002  3.05E-14  0.90    160912 Andicam
7644.54785   R   11.102  0.001  7.76E-14  0.85    160912 Andicam
7645.60596   I   10.173  0.001  9.27E-14  0.85    160913 Andicam
7645.60693   B   14.156  0.003  1.31E-14  0.98    160913 Andicam
7645.60791   V   12.954  0.002  2.38E-14  0.90    160913 Andicam
7645.60889   R   11.279  0.001  6.60E-14  0.91    160913 Andicam
7647.58594   I   10.397  0.001  7.54E-14  0.86    160915 Andicam
7647.58691   B   14.412  0.002  1.04E-14  0.83    160915 Andicam
7647.58887   R   11.447  0.001  5.65E-14  0.81    160915 Andicam
7647.58887   V   13.206  0.002  1.89E-14  0.92    160915 Andicam
7648.52979   I   10.571  0.001  6.43E-14  0.69    160916 Andicam
7648.53076   B   14.629  0.002  8.49E-15  0.79    160916 Andicam
7648.53223   V   13.401  0.002  1.57E-14  0.63    160916 Andicam
7648.53320   R   11.604  0.001  4.89E-14  0.68    160916 Andicam
7649.57324   I   10.727  0.001  5.56E-14  0.69    160917 Andicam
7649.57422   B   14.745  0.002  7.63E-15  1.01    160917 Andicam
7649.57520   V   13.532  0.002  1.40E-14  1.11    160917 Andicam
7649.57617   R   11.739  0.001  4.32E-14  1.00    160917 Andicam
7650.54199   I   10.796  0.001  5.22E-14  1.12    160918 Andicam
7650.54297   B   14.779  0.002  7.39E-15  1.18    160918 Andicam
7650.54395   V   13.546  0.002  1.38E-14  1.08    160918 Andicam
7650.54492   R   11.755  0.001  4.25E-14  0.97    160918 Andicam
7652.54785   I   11.029  0.001  4.21E-14  0.68    160920 Andicam
7652.54883   B   15.140  0.002  5.30E-15  0.84    160920 Andicam
7652.54980   V   13.908  0.001  9.88E-15  0.70    160920 Andicam
7652.55078   R   12.016  0.001  3.34E-14  0.68    160920 Andicam
7655.57520   I   11.243  0.001  3.46E-14  0.87    160923 Andicam
7655.57617   B   15.480  0.002  3.88E-15  1.13    160923 Andicam
7655.57715   V   14.214  0.001  7.45E-15  0.94    160923 Andicam
7655.57812   R   12.256  0.001  2.68E-14  0.97    160923 Andicam
7657.59277   I   11.364  0.001  3.10E-14  0.70    160925 Andicam
7657.59424   B   15.571  0.002  3.57E-15  0.81    160925 Andicam
7657.59521   V   14.279  0.001  7.02E-15  0.75    160925 Andicam
7657.59619   R   12.371  0.001  2.41E-14  0.71    160925 Andicam
7662.52490   I   11.471  0.001  2.81E-14  0.68    160930 Andicam
7662.52588   B   15.845  0.002  2.77E-15  0.88    160930 Andicam
7662.52686   V   14.579  0.002  5.32E-15  0.78    160930 Andicam
7662.52783   R   12.523  0.001  2.10E-14  0.75    160930 Andicam
7665.54004   I   11.590  0.002  2.51E-14  0.60    161003 Andicam
