# PR_STOUT run at Fri Jul 20 18:35:56 2012
 
   col1     col2   col3   col4
(+2450000)        Mag.       
3841.79260   H    7.856  0.006 
3854.83185   H    9.277  0.014 
3860.71603   H    9.755  0.023 
3867.71372   H   10.098  0.019 
3875.57562   H   10.524  0.025 
3882.73826   H   10.759  0.024 
3886.66251   H   10.807  0.025 
3896.67737   H   11.125  0.034 
3902.61105   H   11.401  0.043 
3908.62601   H   11.748  0.038 
3915.75751   H   12.072  0.050 
3922.63446   H   12.266  0.065 
3932.61993   H   12.679  0.060 
3945.60280   H   13.070  0.076 
4647.67758   H   17.553  0.330 
6011.81059   H   21.339  2.060 
