# PR_STOUT run at Fri Feb 16 13:36:16 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
7657.48193   I    6.910  0.001  1.87E-12  0.71    160925 Andicam
7657.48291   B    7.963  0.001  3.94E-12  0.89    160925 Andicam
7657.48389   R    6.956  0.001  3.53E-12  0.78    160925 Andicam
7657.48389   V    7.158  0.002  4.95E-12  0.85    160925 Andicam
7658.48877   I    6.751  0.001  2.17E-12  0.90    160926 Andicam
7658.49023   B    8.047  0.001  3.65E-12  0.91    160926 Andicam
7658.49121   R    6.162  0.004  7.35E-12  0.99    160926 Andicam
7658.49121   V    7.272  0.002  4.45E-12  0.88    160926 Andicam
7660.50879   I    6.793  0.001  2.08E-12  0.97    160928 Andicam
7660.50977   V    7.998  0.002  2.28E-12  0.93    160928 Andicam
7660.50977   B    8.126  0.001  3.39E-12  1.14    160928 Andicam
7660.51123   R    6.754  0.004  4.26E-12  0.89    160928 Andicam
7661.48389   I    7.188  0.001  1.45E-12  0.74    160929 Andicam
7661.48486   V    8.573  0.002  1.34E-12  0.92    160929 Andicam
7661.48486   B    8.537  0.001  2.32E-12  1.01    160929 Andicam
7661.48584   R    7.066  0.003  3.19E-12  0.79    160929 Andicam
7664.48486   I    7.576  0.001  1.01E-12  2.17    161002 Andicam
7664.48584   B    9.408  0.001  1.04E-12  2.14    161002 Andicam
7664.48682   V    9.511  0.002  5.67E-13  2.19    161002 Andicam
7664.48779   R    7.746  0.005  1.71E-12  1.98    161002 Andicam
7665.49414   I    7.456  0.010  1.13E-12  1.01    161003 Andicam
7665.49512   V    8.913  0.006  9.83E-13  1.12    161003 Andicam
7665.49512   B    8.811  0.006  1.80E-12  1.07    161003 Andicam
7665.49609   R    7.647  0.029  1.87E-12  0.88    161003 Andicam
7666.49023   I    7.911  0.002  7.45E-13  0.93    161004 Andicam
7666.49121   B    9.620  0.002  8.56E-13  1.37    161004 Andicam
