# PR_STOUT run at Mon May 21 09:25:12 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
(+2450000.0)                    (F_lam) arcsec
8094.78711   B   11.235  0.001  1.93E-13  0.78    171206 Andicam
8094.78711   I    7.963  0.002  7.10E-13  0.70    171206 Andicam
8094.78809   V    9.992  0.001  3.64E-13  0.64    171206 Andicam
8094.78906   R    8.549  0.001  8.15E-13  0.63    171206 Andicam
8095.81982   B   11.338  0.001  1.76E-13  0.67    171207 Andicam
8095.81982   I    8.106  0.002  6.22E-13  0.69    171207 Andicam
8095.82080   V   10.088  0.001  3.33E-13  0.64    171207 Andicam
8095.82178   R    8.675  0.001  7.26E-13  0.66    171207 Andicam
8096.81299   I    7.972  0.001  7.04E-13  0.54    171208 Andicam
8096.81396   B   11.136  0.001  2.12E-13  0.63    171208 Andicam
8096.81494   V    9.902  0.001  3.95E-13  0.60    171208 Andicam
8096.81592   R    8.560  0.001  8.07E-13  0.56    171208 Andicam
8099.81006   I    7.755  0.002  8.60E-13  0.66    171211 Andicam
8099.81104   B   10.841  0.001  2.78E-13  0.73    171211 Andicam
8099.81201   V    9.669  0.001  4.90E-13  0.65    171211 Andicam
8099.81299   R    8.420  0.002  9.18E-13  0.63    171211 Andicam
8103.76318   I    8.168  0.002  5.88E-13  0.79    171215 Andicam
8103.76416   B   11.251  0.001  1.91E-13  0.87    171215 Andicam
8103.76514   V   10.138  0.001  3.18E-13  0.83    171215 Andicam
8103.76611   R    8.630  0.001  7.57E-13  0.72    171215 Andicam
8106.77393   I    8.201  0.002  5.70E-13  0.53    171218 Andicam
8106.77490   B   11.254  0.001  1.90E-13  0.67    171218 Andicam
8106.77588   V   10.146  0.001  3.16E-13  0.65    171218 Andicam
8106.77686   R    8.672  0.001  7.28E-13  0.64    171218 Andicam
8109.78613   B   11.269  0.001  1.88E-13  0.82    171221 Andicam
8109.78613   I    8.212  0.002  5.65E-13  0.70    171221 Andicam
8109.78711   V   10.136  0.001  3.18E-13  0.83    171221 Andicam
8109.78809   R    8.737  0.001  6.86E-13  0.84    171221 Andicam
8112.82715   I    8.276  0.002  5.32E-13  0.61    171224 Andicam
8112.82812   B   11.332  0.001  1.77E-13  0.68    171224 Andicam
8112.82910   V   10.187  0.001  3.04E-13  0.62    171224 Andicam
8112.83008   R    8.808  0.001  6.42E-13  0.66    171224 Andicam
8115.79395   I    8.381  0.001  4.83E-13  0.52    171227 Andicam
8115.79492   B   11.474  0.001  1.55E-13  0.64    171227 Andicam
8115.79590   R    8.889  0.001  5.96E-13  0.56    171227 Andicam
8115.79590   V   10.333  0.001  2.66E-13  0.60    171227 Andicam
8118.80322   I    8.537  0.002  4.18E-13  0.76    171230 Andicam
8118.80420   V   10.445  0.001  2.40E-13  0.77    171230 Andicam
8118.80420   B   11.589  0.001  1.40E-13  0.75    171230 Andicam
8118.80518   R    8.970  0.001  5.53E-13  0.73    171230 Andicam
8122.72607   I    8.889  0.002  3.03E-13  0.83    180103 Andicam
8122.72705   B   11.977  0.001  9.77E-14  0.84    180103 Andicam
8122.72803   R    9.222  0.001  4.39E-13  0.87    180103 Andicam
8122.72803   V   10.842  0.001  1.66E-13  0.88    180103 Andicam
8126.74121   B   12.140  0.001  8.41E-14  0.76    180107 Andicam
8126.74121   I    9.060  0.002  2.58E-13  0.62    180107 Andicam
8126.74219   V   10.989  0.001  1.45E-13  0.59    180107 Andicam
8126.74316   R    9.346  0.001  3.91E-13  0.59    180107 Andicam
8129.71582   I    9.159  0.002  2.36E-13  0.50    180110 Andicam
8129.71680   B   12.243  0.001  7.64E-14  0.67    180110 Andicam
8129.71777   V   11.109  0.001  1.30E-13  0.57    180110 Andicam
8129.71924   R    9.299  0.001  4.09E-13  0.51    180110 Andicam
8136.67578   I    9.366  0.001  1.95E-13  0.50    180117 Andicam
8136.67676   B   12.437  0.001  6.39E-14  0.59    180117 Andicam
8136.67822   R    9.395  0.001  3.74E-13  0.49    180117 Andicam
8136.67822   V   11.318  0.001  1.07E-13  0.50    180117 Andicam
