Name,t_0,Source,FileName
DE Cir,2452921.504,CBAT,decir_ir.txt
FM Cir,2458138.2,ATel #11209,fmcir_ir.txt
N Cen 2012b,2456022.27,SMARTS,ncen2012b_ir.txt
N Cen 2017,2457868.58,ATel #10387,ncen2017_ir.txt
N LMC 1996,2458176.578,*,nlmc1996_ir.txt
N LMC 2005,2453700.664,AAVSO Alert 330,nlmc2005_ir.txt
N LMC 2009a,2454867.567,*,nlmc2009a_ir.txt
N LMC 2009b,2454956.494,AAVSO Special 154,nlmc2009b_ir.txt
N LMC 2012a,2456012.897,*,nlmc2012a_ir.txt
N LMC 2012b,2456225.81,ATel #4540,nlmc2012b_ir.txt
N LMC 2013,2456582.036,ATel #5491,nlmc2013_ir.txt
N LMC 2015,2457096.62,ATel #7260,nlmc2015_ir.txt
N LMC 2018a,2458242.46,SMARTS,nlmc2018a_ir.txt
N LMC 2018b,2458310.94,ATel #11857,nlmc2018b_ir.txt
N Lup 2018,2458272.5,Koji,nlup2018_ir.txt
N Mus 2018,2458133,ATel #11183,nmus2018_ir.txt
N Oph 2017,2457881.5,Koji,noph2017_ir.txt
N Oph 2018b,2458188.31,SMARTS,noph2018b_ir.txt
N Oph 2018c,2458339.61,SMARTS,noph2018c_ir.txt
NR Tra,2454557.5,Koji,nrtra_ir.txt
N Sco 2018a,2458136.4,ATel #11209,nsco2018a_ir.txt
N Sco 2018b,2458156.36,ATel #11289,nsco2018b_ir.txt
N SMC 2012,2456083.5, *,nsmc2012_ir.txt
N SMC 2016,2457671.3, *,nsmc2016_ir.txt
PR Lup,2455777.5,Koji,prlup_ir.txt
QY Mus,2454737.5,Koji,qymus_ir.txt
RS Oph,2453779.329, *,rsoph_ir.txt
T Pyx,2455665.793, *,tpyx_ir.txt
V1047 Cen,2453583.531,CBAT,v1047cen_ir.txt
V1065 Cen,2454123.854,CBAT,v1065cen_ir.txt
V1187 Sco ,2453221.083,CBAT,v1187sco_ir.txt
V1213 Cen,2454959.5, *,v1213cen_ir.txt
V1280 Sco,2454136.362, *,v1280sco_ir.txt
V1309 Sco,2454711.959,CBAT,v1309sco_ir.txt
V1311 Sco,2455312.288,CBAT,v1311sco_ir.txt
V1312 Sco,2455713.5,Koji,v1312sco_ir.txt
V1313 Sco,2455810.5,Koji,v1313sco_ir.txt
V1324 Sco,2456070.3, *,v1324sco_ir.txt
V1368 Cen,2456009.5,Koji,v1368cen_ir.txt
V1369 Cen,2456629.192, *,v1369cen_ir.txt
