JD,J,H,K,L,M
2456520.359,4.86,4.79,4.7,4.38,4.29
2456520.496,4.65,4.59,4.51,4.22,4.04
2456521.267,4.22,4.1,4.04,3.85,3.83
2456521.285,4.19,4.09,4.05,3.84,3.78
2456521.469,4.23,4.1,4.05,3.83,3.74
2456522.277,4.19,3.99,3.9,3.68,3.62
2456522.305,4.19,4,3.9,3.67,3.56
2456522.407,4.14,3.95,3.84,3.59,3.48
2456522.457,4.09,3.9,3.79,3.58,3.55
2456523.232,4,3.75,3.62,3.34,3.24
2456523.265,4,3.74,3.6,3.33,3.25
2456523.435,3.9,3.67,3.5,3.2,3.12
2456523.458,3.89,3.66,3.49,3.19,3.08
2456524.24,3.94,3.64,3.42,2.99,2.91
2456524.271,3.92,3.64,3.4,2.99,2.87
2456524.444,3.93,3.67,3.39,2.92,2.83
2456524.474,3.94,3.66,3.38,2.93,2.77
2456525.275,4.07,3.79,3.48,2.85,2.72
2456525.317,4.04,3.76,3.46,2.84,2.71
2456525.45,4.1,3.81,3.5,2.84,2.66
2456525.489,4.11,3.82,3.51,2.86,2.7
2456526.262,4.17,3.92,3.59,2.81,2.64
2456526.29,4.18,3.92,3.61,2.84,2.64
2456553.217,5.82,5.9,5.22,4.1,3.67
2456556.214,5.82,5.88,5.06,3.78,3.41
2456556.236,5.84,5.92,5.11,3.77,3.36
2456557.278,5.88,5.85,5.03,3.68,3.26
2456563.269,6.21,5.66,4.46,2.83,2.44
2456563.311,6.08,5.62,4.47,2.91,2.4
2456577.188,7.19,5.78,4.23,2.17,1.53
2456586.232,7.98,6.46,4.75,2.42,1.82
2456590.217,8.15,6.62,4.93,2.52,1.81
2456591.182,8.17,6.62,4.91,2.52,1.78
2456595.17,8.28,6.74,5.01,2.6,1.87
2456631.159,8.99,7.29,5.41,2.98,2.28
2456644,,7.55,5.62,3.15,2.62
2456870,,,10.67,7.36,
2456886,,,10.51,7.67,
2456891,,12.59,10.79,7.67,
