JD	J	J err	K	K err
2457105.514	5.11	0.02	5.02	0.05
2457106.504	3.95	0.15	3.79	0.02
2457108.494	3.61	0.13	2.99	0.01
2457115.574	3.66	0.06	3.28	0.03
2457117.544	4.42	0.02	3.54	0.01
2457118.504	3.25	0.02	3.29	0.05
2457119.484	3.66	0.16	3.17	0.19
2457121.464	3.32	0.04	2.85	0.04
2457126.474	4.08	0.02	3.47	0.05
2457127.454	4.94	0.03	4.78	0.03
2457128.464	4.96	0.05	5.12	0.1
2457137.444	4.17	0.08	3.36	0.09
2457145.534	3.66	0.05	3.17	0.06
2457146.474	3.77	0.06	3.25	0.03
2457147.434	3.85	0.03	3.4	0.01
2457151.434	4.59	0.07	4.66	0.15
2457157.354	4.04	0.11	3.34	0.07
2457167.494	4.4	0.16	5.15	0.04
2457168.474	4.93	0.02	4.93	0.1
2457183.454	4.71	0.07	3.46	0.09
2457189.454	5.49	0.7	2.66	0.05
2457210.454	7.93	0.15	2.65	0.15
2457303.06	8.05	0.04	3.65	0.05
2457314.09	7.61	0.06	4.02	0.05
2457321.1	7.7	0.06	4	0.1
2457332.05	7.87	0.12	4.17	0.18
2457447.46	9.88	0.08	7.08	0.09
